X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.2390331425948,39.9565199462573,369,Howard Sayre Morris Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017"
-75.2295676713022,39.9635166332757,370,Ann P Nichols Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2344650014337,39.948985705572,371,Albert W Christy Sr Recreation Center,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2226115796721,39.9670227793817,372,West Mill Creek,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2257628897276,39.9528330298912,373,Malcolm X Memorial Park,5_12_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2164775278269,39.9711727523314,374,Sister Clara Muhammad Square,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2155633487788,39.9659561109027,375,Mill Creek Playground and Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2102061441064,39.9617603787975,376,John A Lee Cultural Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2095734861503,39.9478678528845,377,Clarence H Clark Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2099479193246,39.9422365871743,378,48th and Woodland Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2171552443643,39.9422446455821,379,Kingsessing Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2383513672199,39.9408979192556,380,Whitby Avenue Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2279640027784,39.9349663274868,381,Francis J Myers Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2305740912171,39.9236202389985,382,George Connell Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2288773777486,39.9148806933256,383,J Francis Finnegan Playground,2_5_YEARS,2017/01/01 00:00:00+00,On the Eastern Side,"Capital Data 2019, Pictometry 2020"
-75.232253048108,39.9150578555832,384,J Francis Finnegan Playground,2_5_YEARS,2017/01/01 00:00:00+00,Next to Recreation Center,"Capital Data 2019, Pictometry 2020"
-75.2482486633602,39.9081354289711,385,William A Cibotti Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2501857450165,39.9051533702167,386,Eastwick Regional Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2373488554302,39.9058163577157,387,Eastwick Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1976329388354,39.9363546194576,388,Jacob Stinger Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1932875071012,39.9377366999166,389,Donald P Finnegan Recreation Center,2_5_YEARS,2017/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
