X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1668062547072,39.9884697906008,208,2200 Block of N LAMBERT ST,19132,2020,,2020 Playstreets Program
-75.181314892818,39.988333761635,209,2900 Block of EDGLEY ST,19121,2020,,2020 Playstreets Program
-75.2113875260298,39.9468062526228,210,4500 Block of REGENT ST,19143,2020,,2020 Playstreets Program
-75.1039917934695,40.008633906352,211,4000 Block of CLARIDGE ST,19124,2020,,2020 Playstreets Program
-75.0698760912779,40.0145911598221,212,5200 Block of DITMAN ST,19124,2020,,2020 Playstreets Program
-75.109731619159,40.0003658067583,213,3400 Block of PALMETTO ST,19134,2020,,2020 Playstreets Program
-75.1768172932411,40.0483582483602,214,6300 Block of HOMER ST,19144,2020,,2020 Playstreets Program
-75.0999463386862,39.9982196587175,215,2000 Block of E PACIFIC ST,19134,2020,,2020 Playstreets Program
-75.076466190047,40.0201857415622,216,5100 Block of DUFFIELD ST,19124,2020,,2020 Playstreets Program
-75.1417449380772,39.9993441340076,217,3100 Block of N SHERIDAN ST,19133,2020,,2020 Playstreets Program
-75.2298202575699,39.9357661228196,218,5800 Block of TRINITY ST,19143,2020,,2020 Playstreets Program
-75.1495158059422,40.0019075448278,219,1100 Block of W HILTON ST,19140,2020,,2020 Playstreets Program
-75.1435094913821,39.9901218568342,220,2500 Block of N MARSHALL ST,19133,2020,,2020 Playstreets Program
-75.1436277413113,40.0090904296811,221,3700 Block of N DELHI ST,19140,2020,,2020 Playstreets Program
-75.1435381458327,40.0074448829336,222,3600 Block of N PERCY ST,19140,2020,,2020 Playstreets Program
-75.1414211561329,40.0119364844247,223,3900 Block of N DARIEN ST,19140,2020,,2020 Playstreets Program
-75.2174928080528,39.9322047711271,224,5500 Block of WHEELER ST,19143,2020,,2020 Playstreets Program
-75.2242092836152,39.9357337403316,225,1900 Block of S ITHAN ST,19143,2020,,2020 Playstreets Program
-75.2331878024064,39.9191215384797,226,2500 Block of HOBSON ST,19142,2020,,2020 Playstreets Program
-75.2358698055818,39.9150788735,227,2600 Block of HOLBROOK ST,19142,2020,,2020 Playstreets Program
-75.2260748923824,39.9344205119589,228,2000 Block of S CECIL ST,19143,2020,,2020 Playstreets Program
-75.2265843577424,39.926227060949,229,6100 Block of WHEELER ST,19142,2020,,2020 Playstreets Program
-75.2339406144768,39.9507786031438,230,5500 Block of PEMBERTON ST,19143,2020,,2020 Playstreets Program
-75.2360630588966,39.9505857071441,231,5600 Block of WALTON AVE,19143,2020,,2020 Playstreets Program
-75.2419179657554,39.9515922431149,232,5900 Block of WALTON AVE,19143,2020,,2020 Playstreets Program
-75.2315134821921,39.9241482903383,233,6400 Block of GLENMORE AVE,19142,2020,,2020 Playstreets Program
-75.2276278345464,39.9249092107278,234,6200 Block of REEDLAND ST,19142,2020,,2020 Playstreets Program
-75.2289104575518,39.9239892242659,235,6300 Block of REEDLAND ST,19142,2020,,2020 Playstreets Program
-75.2274491224065,39.9227672802696,236,6300 Block of THEODORE ST,19142,2020,,2020 Playstreets Program
-75.2408434708811,39.947010783747,237,5800 Block of ALTER ST,19143,2020,,2020 Playstreets Program
-75.1154410170628,39.9885253826235,238,2100 Block of E BIRCH ST,19134,2020,,2020 Playstreets Program
-75.1334022573629,40.0030202281819,239,3400 Block of DILLMAN ST,19140,2020,,2020 Playstreets Program
-75.1330124086194,40.0029687251565,240,3400 Block of N PHILIP ST,19140,2020,,2020 Playstreets Program
-75.1370911660321,40.0019649368569,241,3300 Block of N LAWRENCE ST,19140,2020,,2020 Playstreets Program
-75.1131548233977,39.9909777712085,242,3000 Block of CORAL ST,19134,2020,,2020 Playstreets Program
-75.1244282376627,40.0000565737175,243,300 Block of E CORNWALL ST,19134,2020,,2020 Playstreets Program
-75.1336621098528,39.9999345572594,244,3200 Block of N PHILIP ST,19140,2020,,2020 Playstreets Program
-75.1583824422241,39.9171683067476,245,2500 Block of S MARSHALL ST,19148,2020,,2020 Playstreets Program
-75.1522574741604,40.047909197824,246,1900 Block of SPARKS ST,19141,2020,,2020 Playstreets Program
-75.1510432043447,40.0456978373204,247,1800 Block of ROSELYN ST,19141,2020,,2020 Playstreets Program
-75.1623742518452,40.043385627054,248,5500 Block of CROWSON ST,19144,2020,,2020 Playstreets Program
-75.146212788176,39.9764594677768,249,1600 Block of N MARSHALL ST,19122,2020,,2020 Playstreets Program
-75.1517030804216,40.0580558283246,250,2000 Block of E RITTENHOUSE ST,19138,2020,,2020 Playstreets Program
-75.1442574767333,40.0466104940138,251,1400 Block of SPARKS ST,19141,2020,,2020 Playstreets Program
-75.1519781799498,39.9881463638457,252,2300 Block of N 12TH ST,19133,2020,,2020 Playstreets Program
-75.1352247371463,39.9846299720655,253,2200 Block of N HANCOCK ST,19133,2020,,2020 Playstreets Program
-75.1504932556165,40.016281721975,254,1400 Block of W JEROME ST,19140,2020,,2020 Playstreets Program
-75.1566450785361,40.0107734275136,255,3700 Block of N BOUVIER ST,19140,2020,,2020 Playstreets Program
-75.151967812831,40.0183019494688,256,4200 Block of N SYDENHAM ST,19140,2020,,2020 Playstreets Program
-75.1545939727309,40.0275930012131,257,1800 Block of W ELEANOR ST,19141,2020,,2020 Playstreets Program
-75.1938964320905,39.9644207176282,258,3500 Block of MOUNT VERNON ST,19104,2020,,2020 Playstreets Program
-75.2104390981479,39.9673856216173,259,4300 Block of RENO ST,19104,2020,,2020 Playstreets Program
-75.2347313995261,39.9777411697277,260,5600 Block of STEWART ST,19131,2020,,2020 Playstreets Program
-75.2299424235001,39.9743630889229,261,5400 Block of HARLAN ST,19131,2020,,2020 Playstreets Program
-75.2363458426774,39.9577191064332,262,200 Block of S ALDEN ST,19139,2020,,2020 Playstreets Program
-75.2281854341669,39.9659419349903,263,5400 Block of PEARL ST,19139,2020,,2020 Playstreets Program
-75.2293489896185,39.96261729606,264,100 Block of N CONESTOGA ST,19139,2020,,2020 Playstreets Program
-75.2111676519024,39.9718242633541,265,1000 Block of PALLAS ST,19104,2020,,2020 Playstreets Program
-75.224006848385,39.9593215401624,266,5100 Block of LUDLOW ST,19139,2020,,2020 Playstreets Program
-75.2192045734259,39.9644314743513,267,4900 Block of OLIVE ST,19139,2020,,2020 Playstreets Program
-75.2034611905886,39.9731298689899,268,1100 Block of SLOAN ST,19104,2020,,2020 Playstreets Program
-75.1399357973177,40.0321649006467,269,5200 Block of N WARNOCK ST,19141,2020,,2020 Playstreets Program
-75.139868812389,40.0398721969726,270,5700 Block of N MARVINE ST,19141,2020,,2020 Playstreets Program
-75.1286514078159,40.0417377625035,271,5900 Block of N LAWRENCE ST,19120,2020,,2020 Playstreets Program
-75.1253224938903,40.041033894251,272,200 Block of WIDENER ST,19120,2020,,2020 Playstreets Program
-75.1231862481737,40.04126705815,273,100 Block of LINTON ST,19120,2020,,2020 Playstreets Program
-75.1159033394441,40.028351579466,274,5100 Block of WESTFORD RD,19120,2020,,2020 Playstreets Program
-75.1247066005986,40.0427774647052,275,6000 Block of N PHILIP ST,19120,2020,,2020 Playstreets Program
-75.2002597805634,39.9725919041812,276,3800 Block of WYALUSING AVE,19104,2020,,2020 Playstreets Program
-75.2052413671985,39.9732880408505,277,4000 Block of CAMBRIDGE ST,19104,2020,,2020 Playstreets Program
-75.2259191557519,39.9364757163634,278,1700 Block of S FRAZIER ST,19143,2020,,2020 Playstreets Program
-75.2246480429136,39.956251552636,279,5100 Block of CHANCELLOR ST,19139,2020,,2020 Playstreets Program
